"comparison","gene_id"
"1dpa_vs_0dpa","ENSDARG00000016837"
"1dpa_vs_0dpa","ENSDARG00000016855"
"1dpa_vs_0dpa","ENSDARG00000016856"
"1dpa_vs_0dpa","ENSDARG00000016864"
"1dpa_vs_0dpa","ENSDARG00000017014"
"1dpa_vs_0dpa","ENSDARG00000017034"
"1dpa_vs_0dpa","ENSDARG00000017036"
"1dpa_vs_0dpa","ENSDARG00000017105"
"1dpa_vs_0dpa","ENSDARG00000017126"
"1dpa_vs_0dpa","ENSDARG00000017128"
"1dpa_vs_0dpa","ENSDARG00000017155"
"1dpa_vs_0dpa","ENSDARG00000017174"
"1dpa_vs_0dpa","ENSDARG00000017180"
"1dpa_vs_0dpa","ENSDARG00000017316"
"1dpa_vs_0dpa","ENSDARG00000017320"
"1dpa_vs_0dpa","ENSDARG00000017337"
"1dpa_vs_0dpa","ENSDARG00000017354"
"1dpa_vs_0dpa","ENSDARG00000017388"
"1dpa_vs_0dpa","ENSDARG00000017397"
"1dpa_vs_0dpa","ENSDARG00000017422"
"1dpa_vs_0dpa","ENSDARG00000017489"
"1dpa_vs_0dpa","ENSDARG00000017494"
"1dpa_vs_0dpa","ENSDARG00000017569"
"1dpa_vs_0dpa","ENSDARG00000017591"
"1dpa_vs_0dpa","ENSDARG00000017602"
"1dpa_vs_0dpa","ENSDARG00000017612"
"1dpa_vs_0dpa","ENSDARG00000017653"
"1dpa_vs_0dpa","ENSDARG00000017657"
"1dpa_vs_0dpa","ENSDARG00000017665"
"1dpa_vs_0dpa","ENSDARG00000017676"
"1dpa_vs_0dpa","ENSDARG00000017710"
"1dpa_vs_0dpa","ENSDARG00000017748"
"1dpa_vs_0dpa","ENSDARG00000017835"
"1dpa_vs_0dpa","ENSDARG00000017860"
"1dpa_vs_0dpa","ENSDARG00000017884"
"1dpa_vs_0dpa","ENSDARG00000017901"
"1dpa_vs_0dpa","ENSDARG00000018002"
"1dpa_vs_0dpa","ENSDARG00000018060"
"1dpa_vs_0dpa","ENSDARG00000018061"
"1dpa_vs_0dpa","ENSDARG00000018145"
"1dpa_vs_0dpa","ENSDARG00000018149"
"1dpa_vs_0dpa","ENSDARG00000018165"
"1dpa_vs_0dpa","ENSDARG00000018192"
"1dpa_vs_0dpa","ENSDARG00000018228"
"1dpa_vs_0dpa","ENSDARG00000018283"
"1dpa_vs_0dpa","ENSDARG00000018303"
"1dpa_vs_0dpa","ENSDARG00000018334"
"1dpa_vs_0dpa","ENSDARG00000018404"
"1dpa_vs_0dpa","ENSDARG00000018491"
"1dpa_vs_0dpa","ENSDARG00000018529"
"1dpa_vs_0dpa","ENSDARG00000018574"
"1dpa_vs_0dpa","ENSDARG00000018616"
"1dpa_vs_0dpa","ENSDARG00000018637"
"1dpa_vs_0dpa","ENSDARG00000018653"
"1dpa_vs_0dpa","ENSDARG00000018688"
"1dpa_vs_0dpa","ENSDARG00000018693"
"1dpa_vs_0dpa","ENSDARG00000018757"
"1dpa_vs_0dpa","ENSDARG00000018820"
"1dpa_vs_0dpa","ENSDARG00000018984"
"1dpa_vs_0dpa","ENSDARG00000019004"
"1dpa_vs_0dpa","ENSDARG00000019062"
"1dpa_vs_0dpa","ENSDARG00000019274"
"1dpa_vs_0dpa","ENSDARG00000019278"
"1dpa_vs_0dpa","ENSDARG00000019302"
"1dpa_vs_0dpa","ENSDARG00000019332"
"1dpa_vs_0dpa","ENSDARG00000019353"
"1dpa_vs_0dpa","ENSDARG00000019360"
"1dpa_vs_0dpa","ENSDARG00000019365"
"1dpa_vs_0dpa","ENSDARG00000019396"
"1dpa_vs_0dpa","ENSDARG00000019420"
"1dpa_vs_0dpa","ENSDARG00000019496"
"1dpa_vs_0dpa","ENSDARG00000019501"
"1dpa_vs_0dpa","ENSDARG00000019516"
"1dpa_vs_0dpa","ENSDARG00000019521"
"1dpa_vs_0dpa","ENSDARG00000019601"
"1dpa_vs_0dpa","ENSDARG00000019686"
"1dpa_vs_0dpa","ENSDARG00000019743"
"1dpa_vs_0dpa","ENSDARG00000019763"
"1dpa_vs_0dpa","ENSDARG00000019815"
"1dpa_vs_0dpa","ENSDARG00000019838"
"1dpa_vs_0dpa","ENSDARG00000019856"
"1dpa_vs_0dpa","ENSDARG00000019969"
"1dpa_vs_0dpa","ENSDARG00000020007"
"1dpa_vs_0dpa","ENSDARG00000020057"
"1dpa_vs_0dpa","ENSDARG00000020133"
"1dpa_vs_0dpa","ENSDARG00000020134"
"1dpa_vs_0dpa","ENSDARG00000020136"
"1dpa_vs_0dpa","ENSDARG00000020143"
"1dpa_vs_0dpa","ENSDARG00000020187"
"1dpa_vs_0dpa","ENSDARG00000020197"
"1dpa_vs_0dpa","ENSDARG00000020219"
"1dpa_vs_0dpa","ENSDARG00000020228"
"1dpa_vs_0dpa","ENSDARG00000020235"
"1dpa_vs_0dpa","ENSDARG00000020239"
"1dpa_vs_0dpa","ENSDARG00000020242"
"1dpa_vs_0dpa","ENSDARG00000020298"
"1dpa_vs_0dpa","ENSDARG00000020328"
"1dpa_vs_0dpa","ENSDARG00000020417"
"1dpa_vs_0dpa","ENSDARG00000020541"
"1dpa_vs_0dpa","ENSDARG00000020548"
"1dpa_vs_0dpa","ENSDARG00000020611"
"1dpa_vs_0dpa","ENSDARG00000020618"
"1dpa_vs_0dpa","ENSDARG00000020621"
"1dpa_vs_0dpa","ENSDARG00000020645"
"1dpa_vs_0dpa","ENSDARG00000020708"
"1dpa_vs_0dpa","ENSDARG00000020761"
"1dpa_vs_0dpa","ENSDARG00000020788"
"1dpa_vs_0dpa","ENSDARG00000020795"
