"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSDARG00000079972",18.327827532257,0.369094236150079,0.874573877346048,0.422027510437563,0.673004937408212,0.858603814556812,"LOC571865"
"ENSDARG00000079973",29.813761151812,-1.272396830516,0.72999707782231,-1.74301633413622,0.0813307616585224,0.283221702290156,"pus10"
"ENSDARG00000079977",28.1906966885157,1.28626012967584,0.73343554228925,1.75374665599253,0.0794739271868414,0.279576123520494,"nhsb"
"ENSDARG00000079978",72.7057417640135,0.896845635456174,0.514986883044734,1.741492191323,0.0815973408431925,0.283699504582673,"samd10a"
"ENSDARG00000079979",103.89801690029,-0.794094401713615,0.518915448723051,-1.53029632027284,0.125943398706031,0.359575494325087,"fam89a"
"ENSDARG00000079985",89.195977734589,1.35868952831982,0.532670934973036,2.55071084062171,0.0107503477574087,0.0887618385338053,"nrip2"
"ENSDARG00000079994",229.19234085826,0.335213917580796,0.490433235282315,0.683505711817903,0.494287342182138,0.745553886536448,"akap13"
"ENSDARG00000080006",72.3153276233629,0.253452278431353,0.51437215123681,0.492741058826623,0.622195562220194,0.826194195182148,"tmem41b"
"ENSDARG00000080009",184.371391301724,0.37438244942062,0.467531179724785,0.800764666949063,0.423267897580405,0.690162396262333,"bahcc1b"
"ENSDARG00000080010",514.576879551191,-0.227783650286294,0.454802269987495,-0.500841058450649,0.616482986989673,0.823053260687197,"adh5"
"ENSDARG00000080019",57.4947955603094,0.444980100952705,0.599155642143423,0.742678645837049,0.457676261200286,0.717379679627064,"uba6"
"ENSDARG00000080020",224.016148817784,-0.913170215908322,0.464769014345535,-1.96478290876212,0.0494393691735831,0.213912188744438,"il13ra1"
"ENSDARG00000086033",18.6096419342365,1.5382962774123,0.781022315853517,1.96959324488855,0.04888500645961,0.212598124243248,"tspan5a"
"ENSDARG00000086034",234.423927192812,0.710389367022933,0.588406421536285,1.20731069720171,0.227312512561233,0.504630754107918,NA
"ENSDARG00000086048",73.2459997332999,-1.67397293298517,0.685953678186521,-2.44035856387665,0.0146726902581987,0.105946504941704,NA
"ENSDARG00000086056",100.482232124063,-0.509561398521969,0.488598203989757,-1.0429047719804,0.296992399297931,0.578853361025792,"plekhg6"
"ENSDARG00000086057",52.2970592340903,2.85008958799425,0.565101496322894,5.04350033850509,4.57091958702471e-07,4.1512511931424e-05,NA
"ENSDARG00000086060",166.493908928948,2.88627306757719,0.614944798622797,4.69354822423274,2.68506657319343e-06,0.000199157354548364,NA
"ENSDARG00000086075",141.538594987427,0.976004207418724,0.522825782873865,1.86678667997938,0.061931383333327,0.243261517765004,"ttc3"
"ENSDARG00000086100",56.9044992319015,0.478936430388181,0.629372281055108,0.760974775668974,0.446672133644068,0.709098651163133,"cd302"
"ENSDARG00000086103",105.829284124741,0.02080973979978,0.531702578748324,0.0391379328059082,0.968780418119482,0.990318360366458,"slc37a1"
"ENSDARG00000086104",27.005811972946,2.14292373087284,0.708830113752907,3.02318381978315,0.0025013025670683,0.037522348958347,"slco5a1a"
"ENSDARG00000086112",28.0570152912976,-0.359525525259444,0.661115827885089,-0.543816242321056,0.586567930634563,0.804444626800416,"si:ch211-266i6.3"
"ENSDARG00000086126",26.5723991010774,0.385012198156498,0.683982314156194,0.562897885205518,0.573504420350937,0.796842284952165,"trim33l"
